derivation,case_id,metric,ruby_value,julia_value,absolute_difference,comparison_mode,status,result_class
one_bit_first_passage,n=7;q=5,expected_steps,72.3333333333,72.33333333333333,3.33244543071487e-11,exact,match,theorem
one_bit_first_passage,n=7;q=6,expected_steps,63.0,63.0,0.0,exact,match,theorem
one_bit_first_passage,n=8;q=1,expected_steps,127.0,127.0,0.0,exact,match,theorem
one_bit_first_passage,n=8;q=2,expected_steps,144.0,144.0,0.0,exact,match,theorem
one_bit_first_passage,n=8;q=3,expected_steps,148.333333333,148.33333333333334,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=8;q=4,expected_steps,149.333333333,149.33333333333334,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=8;q=5,expected_steps,148.333333333,148.33333333333334,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=8;q=6,expected_steps,144.0,144.0,0.0,exact,match,theorem
one_bit_first_passage,n=8;q=7,expected_steps,127.0,127.0,0.0,exact,match,theorem
one_bit_first_passage,n=9;q=1,expected_steps,255.0,255.0,0.0,exact,match,theorem
one_bit_first_passage,n=9;q=2,expected_steps,285.75,285.75,0.0,exact,match,theorem
one_bit_first_passage,n=9;q=3,expected_steps,293.25,293.25,0.0,exact,match,theorem
one_bit_first_passage,n=9;q=4,expected_steps,295.5,295.5,0.0,exact,match,theorem
one_bit_first_passage,n=9;q=5,expected_steps,295.5,295.5,0.0,exact,match,theorem
one_bit_first_passage,n=9;q=6,expected_steps,293.25,293.25,0.0,exact,match,theorem
one_bit_first_passage,n=9;q=7,expected_steps,285.75,285.75,0.0,exact,match,theorem
one_bit_first_passage,n=9;q=8,expected_steps,255.0,255.0,0.0,exact,match,theorem
one_bit_first_passage,n=10;q=1,expected_steps,511.0,511.0,0.0,exact,match,theorem
one_bit_first_passage,n=10;q=2,expected_steps,566.666666667,566.6666666666666,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=10;q=3,expected_steps,579.333333333,579.3333333333334,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=10;q=4,expected_steps,583.333333333,583.3333333333334,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=10;q=5,expected_steps,584.333333333,584.3333333333334,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=10;q=6,expected_steps,583.333333333,583.3333333333334,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=10;q=7,expected_steps,579.333333333,579.3333333333334,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=10;q=8,expected_steps,566.666666667,566.6666666666666,3.333298081997782e-10,exact,match,theorem
one_bit_first_passage,n=10;q=9,expected_steps,511.0,511.0,0.0,exact,match,theorem
one_bit_first_passage,n=11;q=1,expected_steps,1023.0,1023.0,0.0,exact,match,theorem
one_bit_first_passage,n=11;q=2,expected_steps,1124.2,1124.2,0.0,exact,match,theorem
one_bit_first_passage,n=11;q=3,expected_steps,1145.46666667,1145.4666666666667,3.333298081997782e-9,exact,match,theorem
one_bit_first_passage,n=11;q=4,expected_steps,1152.06666667,1152.0666666666666,3.333298081997782e-9,exact,match,theorem
one_bit_first_passage,n=11;q=5,expected_steps,1154.26666667,1154.2666666666667,3.333298081997782e-9,exact,match,theorem
one_bit_first_passage,n=11;q=6,expected_steps,1154.26666667,1154.2666666666667,3.333298081997782e-9,exact,match,theorem
